case_id,amount,payment_method,failure_type,checkout_intent_score,customer_tenure_days,previous_transactions,previous_failures,previous_recoveries,days_since_failure,retry_count,messages_sent,opted_out,historical_success_rate,prior_recovery_rate,high_value,customer_history_strength,recovered
RC0000013,4692.39,netbanking,timeout,0.8107,1276,12,1,3,11,2,0,0,0.8254041336084094,0.737692736712738,0,0.6906959960353908,0
RC0000014,2678.27,netbanking,timeout,0.8559,1367,4,0,2,10,1,3,0,0.8064908588548817,1.0,0,0.43339347763417224,1
RC0000015,867.09,upi,authentication_failure,0.8589,890,11,2,2,5,0,3,0,0.7842679952633224,0.41814494013467535,0,0.669141894960796,1
RC0000016,2462.62,upi,unknown,0.6291,1046,9,0,1,6,3,0,0,0.7541492390194393,0.2704595616962949,0,0.6200458888731157,0
RC0000017,796.71,upi,insufficient_funds,0.6487,1488,7,2,5,1,1,3,0,0.37606624931873955,0.6666547730390017,0,0.55995723371683,0
RC0000018,3797.98,card,insufficient_funds,0.1449,501,14,4,2,6,3,1,0,0.8321250410575073,0.20547473773450706,0,0.7292305501170816,0
RC0000019,1725.21,upi,temporary_bank_error,0.5113,762,10,0,4,2,2,1,0,1.0,0.7220929391540102,0,0.6457112531348923,0
RC0000020,1538.26,card,temporary_bank_error,0.8033,25,6,1,2,0,3,0,0,0.7923820594313936,0.6953989007036364,0,0.5239995654055677,0
RC0000021,1009.04,upi,temporary_bank_error,0.6137,1054,5,2,0,12,0,3,0,0.6502241209366538,0.4953753473624345,0,0.4824894837218527,1
RC0000022,5088.32,netbanking,insufficient_funds,0.3259,1364,9,4,3,8,1,0,0,0.5325133453593064,0.4058096731054164,0,0.6200458888731157,0
RC0000023,1578.44,wallet,insufficient_funds,0.836,1243,9,0,1,0,2,2,0,1.0,1.0,0,0.6200458888731157,1
RC0000024,1250.71,upi,temporary_bank_error,0.7717,928,5,0,1,3,3,2,0,1.0,1.0,0,0.4824894837218527,1
RC0000025,1334.39,upi,temporary_bank_error,0.8538,458,10,2,3,13,1,2,1,0.8560854935302604,0.38816103506396715,0,0.6457112531348923,0
RC0000026,2829.92,card,insufficient_funds,0.6394,1115,9,0,2,1,0,3,0,0.9046650173001775,0.9676458142130165,0,0.6200458888731157,0
RC0000027,2455.71,upi,temporary_bank_error,0.742,1165,10,1,3,9,3,3,0,0.9343173511253436,0.7877563331933154,0,0.6457112531348923,0
RC0000028,2556.42,upi,expired_instrument,0.8021,139,6,2,2,4,1,2,0,0.5454782202730097,0.664730874547227,0,0.5239995654055677,0
RC0000029,2596.03,upi,unknown,0.8817,777,10,0,0,13,3,2,0,1.0,0.06781283376600583,0,0.6457112531348923,0
RC0000030,11113.79,card,timeout,0.7611,438,8,2,4,11,2,2,0,0.9195812514707619,0.6269434419100699,1,0.5916741449658187,0
RC0000031,1274.22,upi,insufficient_funds,0.6805,1235,9,1,3,12,3,2,0,0.8293302631393978,0.5944349698358684,0,0.6200458888731157,1
RC0000032,1164.6,upi,temporary_bank_error,0.6744,1365,10,1,3,11,0,3,0,0.9106147907826528,0.5298199483269406,0,0.6457112531348923,0
RC0000033,901.3,card,temporary_bank_error,0.9811,1096,6,0,4,11,2,3,0,0.8899178164925218,0.9453204548678052,0,0.5239995654055677,1
RC0000034,3038.52,card,timeout,0.8406,44,7,2,1,12,0,2,0,0.702655390281061,0.6483044014670322,0,0.55995723371683,1
RC0000035,4699.3,wallet,expired_instrument,0.7121,79,14,1,3,9,0,3,0,1.0,0.6536108368047789,0,0.7292305501170816,0
RC0000036,1633.84,card,authentication_failure,0.6788,1090,9,1,0,5,1,1,0,0.665359684796655,0.0,0,0.6200458888731157,0
RC0000037,881.31,upi,temporary_bank_error,0.5821,861,8,3,2,10,3,3,0,0.4154378332868748,0.1622832605263897,0,0.5916741449658187,0
RC0000038,893.13,upi,unknown,0.7182,1472,5,0,1,12,1,3,0,0.9804781038883688,0.845978363848563,0,0.4824894837218527,1
RC0000039,3129.24,card,temporary_bank_error,0.7147,819,12,4,3,4,3,2,0,0.849231111618451,0.5462363891541451,0,0.6906959960353908,0
RC0000040,3385.67,upi,temporary_bank_error,0.3063,716,7,2,3,6,1,2,0,0.7653877086530004,0.43812627790349506,0,0.55995723371683,0
RC0000041,2856.13,wallet,timeout,0.5967,849,8,3,1,1,2,0,0,0.6743580337080786,0.24527854839336363,0,0.5916741449658187,0
RC0000042,1022.35,upi,authentication_failure,0.4408,699,9,2,2,3,1,3,0,0.7281988213188119,0.5536042482547803,0,0.6200458888731157,0
RC0000043,2192.68,upi,temporary_bank_error,0.4034,218,13,0,1,0,1,0,0,1.0,0.0,0,0.7106519766445112,0
RC0000044,1987.68,card,expired_instrument,0.6457,1187,5,3,2,11,1,3,0,0.319769890137383,0.32998665976572,0,0.4824894837218527,0
RC0000045,2167.71,card,insufficient_funds,0.5006,724,7,1,0,13,0,2,0,0.8657892633432664,0.3255311846505468,0,0.55995723371683,1
RC0000046,3775.38,card,timeout,0.7269,1095,11,1,1,3,2,0,0,0.8646950504888037,0.8147521158070992,0,0.669141894960796,0
RC0000047,2176.77,upi,timeout,0.4507,1263,9,1,2,8,3,3,0,0.9314327853577803,0.4461785867627575,0,0.6200458888731157,0
RC0000048,3205.48,netbanking,temporary_bank_error,0.5204,27,9,2,0,12,1,2,1,0.9003191991560318,0.1473439837155865,0,0.6200458888731157,0
RC0000049,1906.42,upi,insufficient_funds,0.7256,105,12,3,0,8,3,2,0,0.8391258317578716,0.0,0,0.6906959960353908,0
RC0000050,2301.45,wallet,timeout,0.7954,977,9,0,3,13,3,2,0,1.0,0.2714286388760591,0,0.6200458888731157,0
RC0000051,3078.31,card,insufficient_funds,0.6636,1020,9,0,2,1,2,0,0,0.9473021489986775,1.0,0,0.6200458888731157,1
RC0000052,521.63,upi,temporary_bank_error,0.3728,956,10,0,1,3,1,3,0,1.0,0.0,0,0.6457112531348923,1
RC0000053,1371.72,card,temporary_bank_error,0.7311,225,10,0,2,5,1,3,0,1.0,0.34080171356819655,0,0.6457112531348923,1
RC0000054,1206.8,upi,authentication_failure,0.3827,758,8,1,4,13,0,1,0,0.7037937880260294,0.7682677347403823,0,0.5916741449658187,0
RC0000055,1045.76,upi,authentication_failure,0.4749,674,12,0,2,2,2,0,0,0.7928862521256383,1.0,0,0.6906959960353908,1
RC0000056,1424.64,upi,insufficient_funds,0.7248,804,9,0,1,8,0,1,0,1.0,0.46816922707120323,0,0.6200458888731157,1
RC0000057,6414.02,card,authentication_failure,0.5865,572,11,2,2,12,2,3,0,0.9355803725348644,0.4324516012589553,0,0.669141894960796,0
RC0000058,862.28,netbanking,authentication_failure,0.8078,750,9,1,2,0,1,2,0,0.7322029306564496,0.2476203410592591,0,0.6200458888731157,0
RC0000059,4099.33,card,expired_instrument,0.6902,334,8,1,0,10,3,1,0,0.7932692063483089,1.0,0,0.5916741449658187,0
RC0000060,430.57,card,unknown,0.7742,713,4,0,3,10,0,1,0,0.616608503311018,1.0,0,0.43339347763417224,1
RC0000061,1354.1,upi,unknown,0.9249,398,9,1,2,11,0,2,0,0.8152558388490968,0.657764478263092,0,0.6200458888731157,0
RC0000062,2067.06,upi,temporary_bank_error,0.7244,485,6,2,2,13,1,0,0,0.4274380452407945,0.7275932231011722,0,0.5239995654055677,0
RC0000063,2962.62,upi,temporary_bank_error,0.9012,483,4,2,2,8,2,1,0,0.5126198267405695,0.7507328854231228,0,0.43339347763417224,0
RC0000064,3294.75,upi,temporary_bank_error,0.4326,1096,10,2,2,12,3,3,0,0.8150765095276281,0.380377525012507,0,0.6457112531348923,0
RC0000065,3532.95,card,temporary_bank_error,0.772,218,6,4,2,0,3,0,0,0.1497823216674816,0.36657968664877716,0,0.5239995654055677,0
RC0000066,1338.26,upi,unknown,0.6428,1031,12,0,4,6,2,0,0,0.8698322815784469,0.8049226989683775,0,0.6906959960353908,0
RC0000067,1215.05,upi,timeout,0.446,1430,14,4,3,9,2,3,0,0.8044154084519824,0.5031151451673703,0,0.7292305501170816,1
RC0000068,3732.45,card,unknown,0.6638,1123,6,1,1,4,0,3,0,0.8853986128259089,1.0,0,0.5239995654055677,1
RC0000069,1529.86,upi,unknown,0.6745,993,12,3,2,2,1,0,0,0.7285345293770596,0.6585256881715473,0,0.6906959960353908,1
RC0000070,608.63,upi,authentication_failure,0.8706,258,7,2,2,4,1,0,0,0.6521195454587706,0.6743344211004103,0,0.55995723371683,0
RC0000071,686.94,card,insufficient_funds,0.4743,1073,7,3,0,3,0,3,0,0.5319037843126138,0.0,0,0.55995723371683,0
RC0000072,823.87,upi,authentication_failure,0.6635,1299,6,2,4,9,1,2,0,0.6158474405536936,0.6149773335920558,0,0.5239995654055677,0
RC0000073,2746.63,upi,authentication_failure,0.7537,1279,9,2,3,14,0,1,0,0.7602470721720294,0.6987681115503569,0,0.6200458888731157,0
RC0000074,2031.65,card,temporary_bank_error,0.358,599,10,3,2,14,1,3,0,0.8926765762695315,0.2001912711019463,0,0.6457112531348923,0
RC0000075,3237.17,card,timeout,0.6405,894,10,3,0,4,0,2,0,0.7062086470304254,0.0,0,0.6457112531348923,0
RC0000076,1251.85,card,unknown,0.4027,1174,10,3,3,7,0,0,0,0.738699089057825,0.5358468634495278,0,0.6457112531348923,1
RC0000077,2059.67,upi,temporary_bank_error,0.7461,561,10,0,5,13,0,3,0,1.0,1.0,0,0.6457112531348923,1
RC0000078,3063.44,card,unknown,0.4175,760,16,2,3,8,2,2,0,0.780204589455515,0.5766663102131131,0,0.7629347951689582,0
RC0000079,1383.81,upi,temporary_bank_error,0.5381,1316,13,1,2,5,0,2,0,0.8451780273281806,0.5498510001937646,0,0.7106519766445112,1
RC0000080,2653.94,card,temporary_bank_error,0.8523,350,10,0,3,14,3,3,0,1.0,0.9658208285239981,0,0.6457112531348923,0
RC0000081,1025.47,netbanking,unknown,0.8362,457,7,0,1,4,0,2,0,0.8258013201013394,0.0,0,0.55995723371683,0
RC0000082,1322.06,upi,timeout,0.6684,671,13,0,4,13,1,1,0,0.9317285958102666,1.0,0,0.7106519766445112,1
RC0000083,1301.23,netbanking,temporary_bank_error,0.7899,983,5,0,3,13,3,3,0,0.8912962413170472,0.883109410034597,0,0.4824894837218527,0
RC0000084,651.37,upi,insufficient_funds,0.8561,1486,13,0,2,1,3,2,0,0.808649150607778,0.9392205252212379,0,0.7106519766445112,1
RC0000085,2722.94,card,insufficient_funds,0.8168,1469,11,2,2,5,3,0,0,0.8567181883956536,0.11427651375253389,0,0.669141894960796,0
RC0000086,1207.79,upi,temporary_bank_error,0.805,1254,14,2,4,2,2,3,0,0.7992487323661887,0.6394533772244256,0,0.7292305501170816,1
RC0000087,1819.22,wallet,authentication_failure,0.7712,1096,11,3,2,13,3,3,0,0.6614544976878096,0.5311438671542981,0,0.669141894960796,0
RC0000088,2708.57,card,unknown,0.7528,934,12,3,3,0,3,1,0,0.7310643434059801,0.4976683322640583,0,0.6906959960353908,0
RC0000089,2630.93,upi,timeout,0.6398,575,9,3,2,8,1,0,0,0.4124938589510865,0.34754521253842324,0,0.6200458888731157,0
RC0000090,3168.83,card,temporary_bank_error,0.8257,1084,12,0,3,6,0,2,0,1.0,0.929979347868203,0,0.6906959960353908,1
RC0000091,1655.45,netbanking,unknown,0.8223,714,10,1,5,9,3,3,0,0.8033261828314233,0.9694907441666603,0,0.6457112531348923,1
RC0000092,1256.06,card,insufficient_funds,0.4545,878,11,1,2,9,2,3,0,0.8639669942218595,1.0,0,0.669141894960796,1
RC0000093,1682.07,netbanking,timeout,0.8599,371,10,1,2,9,0,3,0,1.0,0.1475501907354837,0,0.6457112531348923,1
RC0000094,428.94,upi,authentication_failure,0.5681,463,11,0,2,12,1,0,0,1.0,1.0,0,0.669141894960796,0
RC0000095,526.1,card,insufficient_funds,0.4931,344,9,3,3,12,0,2,0,0.7060346323274569,0.3624992567617784,0,0.6200458888731157,0
RC0000096,584.79,upi,authentication_failure,0.8722,326,6,3,2,13,3,3,0,0.5294746492270751,0.37858152648839904,0,0.5239995654055677,0
RC0000097,771.15,netbanking,temporary_bank_error,0.7555,937,14,1,3,8,3,1,0,0.8727299680152862,1.0,0,0.7292305501170816,1
RC0000098,2528.42,card,expired_instrument,0.6788,494,9,1,1,4,2,3,0,0.9748479902084102,0.1117947407595084,0,0.6200458888731157,0
RC0000099,833.71,upi,temporary_bank_error,0.6961,40,8,1,1,0,3,1,0,0.8155375161374193,0.0,0,0.5916741449658187,1
RC0000100,1305.19,upi,temporary_bank_error,0.8235,399,10,2,2,10,1,2,0,0.6763964749869356,0.5048658908877017,0,0.6457112531348923,0
RC0000101,5431.04,card,temporary_bank_error,0.5545,584,8,4,3,4,3,0,0,0.441086079877807,0.2509311034801868,0,0.5916741449658187,0
RC0000102,1329.71,card,temporary_bank_error,0.895,969,9,1,2,10,3,2,0,0.8396252401882923,1.0,0,0.6200458888731157,1
RC0000103,3369.2,card,temporary_bank_error,0.8097,20,10,2,1,12,2,1,0,0.8752625049350804,0.17279140629883108,0,0.6457112531348923,0
RC0000104,814.01,card,insufficient_funds,0.7532,794,8,0,2,4,1,1,0,0.8312068310902003,0.6088344567241878,0,0.5916741449658187,0
RC0000105,1511.59,card,temporary_bank_error,0.6849,530,7,3,3,12,3,0,0,0.5510456221774069,0.5021456492098643,0,0.55995723371683,0
RC0000106,802.73,netbanking,insufficient_funds,0.3452,1454,8,1,0,14,1,2,0,0.8608062834213788,0.10729694032932273,0,0.5916741449658187,0
RC0000107,1349.33,card,authentication_failure,0.4857,649,8,2,1,10,1,0,0,0.6863732860355019,0.2717883183218716,0,0.5916741449658187,0
RC0000108,3676.82,upi,temporary_bank_error,0.681,401,8,1,4,7,1,2,0,0.9424073858631049,0.622422392964801,0,0.5916741449658187,0
RC0000109,414.6,card,authentication_failure,0.6347,611,10,2,4,0,3,3,0,0.7912607758837436,0.7107455291946393,0,0.6457112531348923,1
RC0000110,2603.99,upi,temporary_bank_error,0.9401,1069,12,0,3,14,2,2,0,1.0,0.6325022785239564,0,0.6906959960353908,1
RC0000111,2203.09,upi,unknown,0.7977,869,7,1,2,13,2,2,0,0.7884224678125403,0.5858739685083748,0,0.55995723371683,0
RC0000112,1086.28,card,expired_instrument,0.7217,1257,12,2,0,9,2,0,0,0.8263747595517424,0.3100468534231585,0,0.6906959960353908,0
RC0000113,526.57,netbanking,timeout,0.6839,1211,9,1,6,9,2,0,0,0.6946745270812676,0.8600045827150392,0,0.6200458888731157,0
RC0000114,1913.81,upi,temporary_bank_error,0.8854,1089,8,3,1,4,3,0,0,0.7081454933986283,0.5246751167060437,0,0.5916741449658187,0
RC0000115,1147.65,upi,temporary_bank_error,0.532,1024,13,2,3,1,3,3,0,0.9276493128268413,0.6187162693570715,0,0.7106519766445112,0
RC0000116,2193.64,upi,timeout,0.8046,350,9,1,3,6,0,0,0,0.8578249637185116,0.6566805561331982,0,0.6200458888731157,1
RC0000117,1833.75,card,temporary_bank_error,0.903,541,10,1,3,10,2,3,0,0.836446963834734,0.9404102879584157,0,0.6457112531348923,1
RC0000118,7023.76,upi,authentication_failure,0.8723,201,11,0,2,0,3,0,0,0.8918256174942717,0.7253097921581293,0,0.669141894960796,1
RC0000119,1468.64,card,expired_instrument,0.8648,976,6,1,3,14,0,3,0,0.6986214094347328,0.562553391582345,0,0.5239995654055677,0
RC0000120,754.13,upi,insufficient_funds,0.3771,681,6,1,1,0,3,0,0,0.9284813920690667,0.4541695774004002,0,0.5239995654055677,0
RC0000121,2096.29,upi,temporary_bank_error,0.625,290,10,0,2,5,3,1,0,0.9439320364105335,0.6171226359532865,0,0.6457112531348923,1
RC0000122,2170.12,card,authentication_failure,0.4523,1412,8,0,3,9,3,1,0,1.0,0.8163840732930927,0,0.5916741449658187,0
RC0000123,5715.01,upi,temporary_bank_error,0.8271,822,4,1,1,0,3,3,0,0.838912496659078,1.0,0,0.43339347763417224,1
RC0000124,3660.62,upi,insufficient_funds,0.9168,686,12,2,4,0,3,1,0,0.8562723247838596,0.57827800442596,0,0.6906959960353908,1
RC0000125,2437.88,wallet,unknown,0.6724,43,13,1,3,3,3,1,0,0.9619513485281198,0.6595254287256069,0,0.7106519766445112,1
RC0000126,6243.83,upi,temporary_bank_error,0.4627,13,12,1,1,1,3,1,0,0.8468952110205471,0.8570110095918372,0,0.6906959960353908,1
RC0000127,655.3,card,insufficient_funds,0.6529,868,5,1,4,9,2,0,0,0.798831453990518,0.9434511713850717,0,0.4824894837218527,0
RC0000128,1044.98,upi,unknown,0.8144,934,13,2,3,12,3,0,0,0.8444334858347529,0.6071013174213201,0,0.7106519766445112,1
RC0000129,818.89,upi,authentication_failure,0.9352,236,7,2,1,5,3,1,0,0.6209790906048329,0.27915614513104964,0,0.55995723371683,0
RC0000130,1292.33,card,temporary_bank_error,0.5069,909,10,0,3,2,3,2,0,0.9078469018261952,0.8559419887607271,0,0.6457112531348923,1
RC0000131,558.56,netbanking,timeout,0.8309,310,5,0,1,1,0,2,0,0.609433976732306,1.0,0,0.4824894837218527,1
RC0000132,3088.44,upi,temporary_bank_error,0.7486,809,7,3,3,7,0,3,0,0.58731420817571,0.6044924396258163,0,0.55995723371683,1
RC0000133,1490.18,upi,authentication_failure,0.8794,196,10,2,2,6,2,2,0,0.8049187174830352,0.5336618234656565,0,0.6457112531348923,1
RC0000134,515.61,netbanking,temporary_bank_error,0.7357,3,12,1,1,4,3,1,0,0.8928613472395033,0.75521275936554,0,0.6906959960353908,0
RC0000135,759.23,netbanking,unknown,0.73,1344,5,3,2,10,3,3,0,0.40254100823912664,0.3354909821608458,0,0.4824894837218527,0
RC0000136,2349.67,card,expired_instrument,0.9028,1162,13,3,3,5,3,3,0,0.7851122495671652,0.37500028892096093,0,0.7106519766445112,0
RC0000137,3670.01,upi,timeout,0.8941,506,7,3,3,3,0,3,0,0.7251638851362918,0.5807767115355149,0,0.55995723371683,0
RC0000138,9825.76,wallet,temporary_bank_error,0.5557,908,13,1,2,14,2,0,0,0.9467694448759623,0.6080378022892169,0,0.7106519766445112,1
RC0000139,21425.24,upi,temporary_bank_error,0.8571,526,14,1,1,1,3,0,0,0.9332804760735322,0.0,1,0.7292305501170816,1
RC0000140,2560.07,netbanking,unknown,0.5102,467,8,1,2,6,0,0,0,0.8153871992194444,0.5059391967631977,0,0.5916741449658187,0
RC0000141,776.22,upi,temporary_bank_error,0.6266,164,9,4,0,11,0,3,0,0.5154802014769313,0.16508634130781635,0,0.6200458888731157,1
RC0000142,293.92,netbanking,timeout,0.7647,336,10,2,1,1,2,2,0,0.8226787873163426,0.09581949755909962,0,0.6457112531348923,0
RC0000143,2259.95,card,insufficient_funds,0.5768,296,8,2,4,5,2,1,0,1.0,0.6911104021346656,0,0.5916741449658187,0
RC0000144,901.93,upi,authentication_failure,0.8192,951,11,1,3,13,1,0,0,0.8843106952123067,0.5521908615988879,0,0.669141894960796,1
RC0000145,1264.57,upi,insufficient_funds,0.9491,977,12,0,1,1,1,0,0,0.9613873049919035,0.6178811826912489,0,0.6906959960353908,1
RC0000146,1069.83,upi,timeout,0.5931,314,8,0,4,7,1,0,0,0.7600146835716646,1.0,0,0.5916741449658187,0
RC0000147,1596.98,netbanking,unknown,0.764,932,9,2,0,13,3,2,0,0.8532464590837636,0.0,0,0.6200458888731157,0
RC0000148,4454.3,card,insufficient_funds,0.7289,337,7,0,3,4,3,0,0,1.0,1.0,0,0.55995723371683,0
RC0000149,2057.06,upi,timeout,0.6126,381,10,2,2,8,2,2,0,0.8651804317812439,0.49740995002033095,0,0.6457112531348923,1
RC0000150,1572.94,card,expired_instrument,0.5885,1198,16,2,6,0,2,0,0,0.8223201544205536,0.6949285575533395,0,0.7629347951689582,0
RC0000151,746.38,wallet,temporary_bank_error,0.6598,1088,9,0,3,12,3,1,0,0.9403774904048855,1.0,0,0.6200458888731157,1
RC0000152,433.57,upi,timeout,0.521,784,7,1,5,10,2,1,0,1.0,0.7009879550754197,0,0.55995723371683,0
RC0000153,1190.56,upi,timeout,0.9415,1180,11,2,2,1,1,1,0,0.8492967501700274,0.3680654131682773,0,0.669141894960796,1
RC0000154,1719.57,netbanking,insufficient_funds,0.402,966,10,0,6,1,2,0,0,1.0,0.8264115573583138,0,0.6457112531348923,0
RC0000155,8089.18,card,temporary_bank_error,0.8511,909,9,1,3,3,1,1,0,0.7479552792050106,0.5564425592219604,0,0.6200458888731157,1
RC0000156,2010.77,card,insufficient_funds,0.2842,1371,7,2,2,6,2,2,0,0.6799302533438458,0.3523049847559711,0,0.55995723371683,0
RC0000157,4150.03,wallet,unknown,0.3685,1475,7,1,3,9,0,1,0,0.7492276055622524,0.8905180120515418,0,0.55995723371683,0
RC0000158,1177.49,upi,authentication_failure,0.5532,540,20,1,4,7,2,0,0,0.9493165166508213,0.8457689837007898,0,0.819836637888477,1
RC0000159,657.43,card,authentication_failure,0.6002,1020,6,3,2,4,2,3,0,0.3607984476995059,0.3220429120325569,0,0.5239995654055677,0
RC0000160,792.5,netbanking,timeout,0.662,353,7,2,1,6,1,1,0,1.0,0.6779512105573365,0,0.55995723371683,1
RC0000161,971.75,card,expired_instrument,0.3426,1432,13,0,3,9,0,0,0,0.9829343028102594,1.0,0,0.7106519766445112,0
RC0000162,10990.0,card,insufficient_funds,0.8903,1385,11,3,2,1,3,0,0,0.9067603901868458,0.15400473040963797,1,0.669141894960796,0
RC0000163,895.48,card,insufficient_funds,0.6099,894,7,4,3,13,2,0,0,0.5323494963599339,0.46305491589283293,0,0.55995723371683,0
RC0000164,3671.14,upi,expired_instrument,0.7539,582,9,1,0,7,1,2,0,1.0,0.12396159631939756,0,0.6200458888731157,0
RC0000165,835.52,upi,timeout,0.97,422,19,1,4,8,2,1,0,1.0,0.8002145352127791,0,0.806698300112059,1
RC0000166,3973.41,upi,authentication_failure,0.6876,464,12,2,5,0,1,0,0,0.9442625270659478,0.7616348635084694,0,0.6906959960353908,0
RC0000167,2496.76,upi,temporary_bank_error,0.5515,1060,9,1,0,7,1,3,0,0.8172788798368853,0.0,0,0.6200458888731157,0
RC0000168,1575.61,upi,expired_instrument,0.9008,1359,6,2,4,1,2,1,0,0.6718559553096567,0.6746413794714173,0,0.5239995654055677,0
RC0000169,1738.7,netbanking,timeout,0.8056,937,8,1,3,5,1,1,0,0.7981293865615805,0.6513276831995203,0,0.5916741449658187,0
RC0000170,1031.71,card,temporary_bank_error,0.5935,1489,13,1,5,5,3,0,0,0.951881407879844,0.864060021652219,0,0.7106519766445112,1
RC0000171,2629.91,wallet,unknown,0.7099,221,6,2,2,12,2,2,0,0.5187795395342566,0.666775779916467,0,0.5239995654055677,0
RC0000172,1222.69,card,unknown,0.6152,1207,7,1,1,7,2,3,0,0.9628899214572633,0.5215245595309842,0,0.55995723371683,0
RC0000173,635.1,card,temporary_bank_error,0.7913,1321,9,3,2,14,2,0,0,0.6836932942862103,0.425105232361551,0,0.6200458888731157,0
RC0000174,607.47,card,unknown,0.5616,1348,9,2,3,12,3,1,0,0.7556535472131903,0.7701829959317262,0,0.6200458888731157,0
RC0000175,2084.41,wallet,timeout,0.6156,952,5,1,3,0,2,0,0,0.7872370028621656,0.4912155574011643,0,0.4824894837218527,1
RC0000176,6889.61,upi,timeout,0.3436,438,6,0,6,0,0,3,0,0.8621879392333637,1.0,0,0.5239995654055677,1
RC0000177,2062.21,upi,timeout,0.7571,798,14,1,1,5,3,1,0,0.924666446791331,0.9897816676034866,0,0.7292305501170816,0
RC0000178,1627.34,card,temporary_bank_error,0.6896,781,8,0,4,7,2,1,0,0.9157792682987351,0.951220096405715,0,0.5916741449658187,1
RC0000179,2295.01,card,unknown,0.9267,479,8,2,2,8,3,2,0,0.7713614689337617,0.16126412411520674,0,0.5916741449658187,1
RC0000180,5462.4,upi,unknown,0.6226,408,10,1,2,14,2,0,0,1.0,0.7694478627980943,0,0.6457112531348923,1
RC0000181,2168.99,card,temporary_bank_error,0.4603,520,7,0,2,13,2,2,0,1.0,1.0,0,0.55995723371683,0
RC0000182,1269.34,upi,temporary_bank_error,0.4319,1226,7,0,2,2,2,3,0,1.0,1.0,0,0.55995723371683,0
RC0000183,4609.56,netbanking,expired_instrument,0.5065,1002,10,1,0,9,3,2,0,0.9059600158247655,0.15538384667750751,0,0.6457112531348923,0
RC0000184,2591.48,card,timeout,0.4648,584,9,1,3,14,0,2,0,1.0,1.0,0,0.6200458888731157,1
RC0000185,6640.45,card,authentication_failure,0.8175,141,9,3,0,13,2,1,0,0.5725597063111412,0.07187173965032771,0,0.6200458888731157,0
RC0000186,2103.36,card,temporary_bank_error,0.7543,608,6,1,0,2,2,0,0,0.6731047897537413,0.0,0,0.5239995654055677,0
RC0000187,635.71,wallet,timeout,0.5955,836,15,3,0,9,2,2,0,0.8204211496276408,0.0,0,0.7466096449557734,0
RC0000188,562.62,upi,expired_instrument,0.7551,168,7,2,0,4,1,1,0,0.7287403310653875,0.0,0,0.55995723371683,1
RC0000189,7323.41,card,unknown,0.3197,1009,11,1,1,13,3,1,0,0.726376748317341,0.6114171622753936,0,0.669141894960796,0
RC0000190,7790.48,upi,timeout,0.4479,939,9,1,3,12,3,2,0,0.7505861860342823,0.4921631575747046,0,0.6200458888731157,0
RC0000191,1545.26,wallet,expired_instrument,0.5489,891,6,0,2,3,2,2,0,0.8344971605636919,0.6504917872077012,0,0.5239995654055677,0
RC0000192,1299.63,upi,authentication_failure,0.8208,738,8,4,1,1,3,1,0,0.5720669261080734,0.0848260232536681,0,0.5916741449658187,0
RC0000193,6233.98,upi,unknown,0.7193,752,10,1,1,3,3,0,0,0.8103603457032834,0.1431138037389585,0,0.6457112531348923,0
RC0000194,702.44,upi,timeout,0.5591,1121,6,1,0,7,2,0,0,1.0,0.11388561201347264,0,0.5239995654055677,1
